TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00333	TUDOR	0.00257281053827043	-5.96275638295629	25	1	1	1	9717	3930	LBR
SM00214	VWC	0.999999999977228	-2.27717844580866e-11	36	0	0	1	9717
SM00322	KH	0.999999999977228	-2.27717844580866e-11	36	0	0	1	9717
SM00093	SERPIN	0.999999999977228	-2.27717844580866e-11	36	0	0	1	9717
SM00204	TGFB	0.999999999977228	-2.27717844580866e-11	36	0	0	1	9717
SM00450	RHOD	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00255	TIR	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00865	Tubulin_C	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00050	DISIN	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00443	G_patch	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00049	DEP	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00041	CT	0.999999999980331	-1.9668864193606e-11	21	0	0	1	9717
SM00020	Tryp_SPc	0.999999999982367	-1.76333201512557e-11	106	0	0	1	9717
SM00508	PostSET	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00092	RNAse_Pc	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00114	CARD	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM01330	Frizzled	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00290	ZnF_UBP	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00461	WH1	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00310	PTBI	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00391	MBD	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00439	BAH	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00460	TGc	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00569	L27	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00246	WH2	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00251	SAM_PNT	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM01372	E2F_TDP	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00038	COLFI	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00232	JAB_MPN	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00160	RanBD	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
SM00027	EH	0.999999999983	-1.69998164850638e-11	11	0	0	1	9717
